1M1AN07Y0JM027470,2549
1M1AN07Y1JM028191,2279
1M1AN07Y2HM023723,2549
1M1AN07Y4JM028458,2219
1M1AN07Y7GM023733,2549
1M1AN07Y8JM028155,2409
1M1AN09Y4JM026805,2204
1M1AN09Y9FM019369,2228
1M1AN09YXFM018585,2069
1M1AN2AY8LM002016,2384
1M1AN2GY6NM023859,2189
1M1AN2GY9MM022512,2339
1M1AN3GY1KM003763,2174
1M1AN3GY1NM023984,2468
1M1AN3GY5LM015030,2279
1M1AN3GY5LM015917,2364
1M1AN3GY5LM018302,2364
1M1AN3GY8LM016625,2549
1M1AN3GY8MM022748,2199
1M1AN4AY4KM001343,2279
1M1AN4GY0LM012221,2123
1M1AN4GY0LM014082,2319
1M1AN4GY0LM019590,2259
1M1AN4GY0MM021454,2184
1M1AN4GY1KM010072,2219
1M1AN4GY1LM009974,2064
1M1AN4GY1LM018447,2084
1M1AN4GY2KM001364,2339
1M1AN4GY2KM003907,2399
1M1AN4GY3LM018952,2549
1M1AN4GY4KM003164,2189
1M1AN4GY4MM020243,2384
1M1AN4GY5LM015177,2169
1M1AN4GY5MM021756,2549
1M1AN4GY6LM018279,2549
1M1AN4GY6MM020969,2033
1M1AN4GY7KM008360,2294
1M1AN4GY7KM008603,2184
1M1AN4GY7MM022844,2348
1M1AN4GY8LM014654,2364
1M1AN4GY9LM016848,2379
1M1AN4GY9LM017773,2549
1M1AN4GY9LM019734,1964
1M1AN4GYXKM001516,1973
1M1AW01Y2KM011049,2123
1M1AW02Y0HM082869,2189
1M1AW02Y1JM085060,2184
1M1AW02Y3JM085285,2549
1M1AW02Y4JM085280,2264
1M1AW02Y9FM043761,2063
1M1AW07Y0FM044144,2153
1M1AW07Y0FM051434,2288
1M1AW07Y0FM051482,2063
1M1AW07Y2GM059553,2549
1M1AW07Y2HM080873,2159
1M1AW07Y4GM054760,2168
1M1AW07Y5FM051784,2273
1M1AW07Y6FM050269,2274
1M1AW07Y7GM060715,2549
1M1AW07Y8GM078527,2408
1M1AW07Y9GM078455,2379
1M1AW07Y9JM085655,2138
1M1AW07YXFM052607,2394
1M1AW07YXJM086880,2394
1M1AW09Y2GM056939,2319
1M1AW09Y7HM084902,1823
1M1AW09Y8FM048133,2549
1M1AW21Y2GM060478,2288
1M1AW21YXFM051381,2378
1M1AW21YXGM053312,2369
1M1AW31Y5FM048880,2229
1M1AX04Y2HM037006,2264
1M1AX07Y5FM020516,2324
1M1GR4GY1KM004495,2474
1M1GR4GY4LM016318,2054
1M1GR4GY5LM016456,2243
1M1PN3GY0LM005869,2379
1M1PN3GY6LM005245,2354
1M1PN3GY7LM005853,2249
1M1PN4GY0KM003009,2549
1M1PN4GY1KM003410,2333
1M1PN4GY1MM007590,2549
1M1PN4GY2LM006253,2349
1M1PN4GY3LM003474,2234
1M1PN4GY4LM006707,2303
1M1PN4GY5MM007821,2274
1M1PN4GY8LM005544,2139
1M1PN4GY8LM006841,2549
1M1PN4GY8MM007909,2174
1M1PN4GY9LM001762,2549
1M1PN4GY9LM005262,2549
1M1PN4GY9MM007823,2549
1M1PN4GY9NM009511,2414
1M2AN07C1HM026192,1959
1M2AN07Y7FM018865,2109
1M2AN07YXFM018004,2304
1M2AU02C8FM009137,2204
1M2AU02CXFM009642,2549
1M2AU04C8GM010383,2123
1M2AV01C3JM001423,2199
1M2AV02C2FM013410,2264
1M2AV02C2GM016065,2219
1M2AV02C7FM012415,2274
1M2AV02C7GM014053,2348
1M2AV02C8FM012892,2138
1M2AV04C1GM014711,2144
